Diet_type,Recipe_name,Calories,Protein,Carbs,Fat,Cuisine
Vegan,Vegan Moussaka,380,12,45,18,Mediterranean
Non-vegetarian,Tandoori Chicken,380,45,8,18,Indian
Vegetarian,Sopapillas,320,5,48,14,Mexican
Non-vegetarian,Chicken Chow Mein,480,28,55,18,Chinese
Vegan,Pico de Gallo,50,2,10,1,Mexican
Vegetarian,Cheese Ravioli,480,20,52,22,Italian
Vegan,Tofu Schezwan,350,18,28,20,Chinese
Vegan,Poha,250,6,42,8,Indian
Vegetarian,Bean Enchiladas,480,18,52,24,Mexican
Vegetarian,Idli with Chutney,250,8,45,4,Indian
Vegetarian,Veg Sweet and Sour,280,8,45,8,Chinese
Vegetarian,Pasta Primavera,450,15,65,16,Italian
Vegan,Bean Soup,260,14,40,6,Italian
Non-vegetarian,Sesame Chicken,480,28,42,26,Chinese
Vegetarian,Spring Rolls,320,8,40,15,Chinese
Non-vegetarian,Beef Bolognese,550,35,52,28,Italian
Vegan,Vegan Kebab,320,14,42,14,Mediterranean
Vegetarian,Veg Manchow Soup,180,6,25,8,Indian
Vegan,Vegetable Dumplings,280,10,40,10,Chinese
Non-vegetarian,Beef Kofta,480,35,12,32,Mediterranean
Vegan,Tabbouleh,180,5,28,8,Mediterranean
Non-vegetarian,Shrimp Risotto,520,30,52,24,Italian
Non-vegetarian,Fish Kebab,350,32,8,20,Mediterranean
Non-vegetarian,Prawn Curry,350,28,12,22,Indian
Vegan,Bharwa Bhindi,200,6,22,12,Indian
Non-vegetarian,Lamb Bhuna,500,38,10,35,Indian
Non-vegetarian,Fish Tacos,380,28,35,18,Mexican
Non-vegetarian,Lamb Gyro,520,35,40,32,Mediterranean
Non-vegetarian,Fish Tikka,280,32,8,14,Indian
Non-vegetarian,Lamb Rogan Josh,520,38,12,35,Indian
Vegan,White Bean Salad,280,14,38,10,Mediterranean
Non-vegetarian,Chicken Chettinad,450,38,12,28,Indian
Vegan,Steamed Bok Choy,120,5,12,6,Chinese
Vegetarian,Aloo Gobi,280,8,35,12,Indian
Non-vegetarian,Chicken Kofta,420,35,12,28,Mediterranean
Non-vegetarian,Chicken Saag,420,35,12,28,Indian
Vegetarian,Gnocchi with Pesto,480,12,55,24,Italian
Non-vegetarian,Dragon Chicken,480,30,32,28,Chinese
Non-vegetarian,Chicken Shawarma,480,38,25,28,Mediterranean
Vegetarian,Cheese Tostada,380,18,38,20,Mexican
Non-vegetarian,Fish Ball Soup,280,22,25,14,Chinese
Non-vegetarian,Chicken Tagine,420,35,25,24,Mediterranean
Vegan,Chana Masala,340,15,50,8,Indian
Vegetarian,Mexican Corn Salad,280,8,38,14,Mexican
Vegetarian,Paneer Butter Masala,450,18,25,32,Indian
Vegetarian,Kadai Paneer,480,22,20,35,Indian
Vegan,Vegan Burrito Bowl,420,16,58,14,Mexican
Non-vegetarian,Honey Garlic Shrimp,380,25,35,16,Chinese
Non-vegetarian,Fish Fry,320,32,12,18,Indian
Vegetarian,Vegetable Lasagna,480,20,48,26,Italian
Vegetarian,Greek Flatbread,380,14,45,20,Mediterranean
Vegetarian,Bean Chalupa,380,14,45,18,Mexican
Vegetarian,Halloumi Fries,380,20,28,26,Mediterranean
Vegetarian,Veg Wontons,280,8,38,12,Chinese
Vegetarian,Dhokla,180,8,30,4,Indian
Vegetarian,Cheese Fatayer,350,14,38,18,Mediterranean
Vegetarian,Halloumi Burger,480,24,38,30,Mediterranean
Non-vegetarian,Mixed Grill,550,45,12,38,Mediterranean
Vegan,Vegan Caesar Salad,280,10,22,18,Italian
Non-vegetarian,Beef Carpaccio,280,25,5,18,Italian
